Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,date,Return,Amihud_daily,Amihud_30d
2010-11-08,0.3459,0.37,0.2261,0.243,118203.827,38339.261954,0.324348736645,2010-11-08,-0.2852941176470589,7.441304373291247e-06,2.1333893699937104e-05
2010-11-09,0.251,0.323,0.199,0.21,47983.393,12808.3048611,0.266932037531,2010-11-09,-0.13580246913580252,1.0602688693665242e-05,2.1491076153459293e-05
2010-11-10,0.2101,0.24,0.14,0.24,30387.028,6110.1298337,0.201076914587,2010-11-10,0.1428571428571428,2.3380377626220654e-05,2.1899060057902924e-05
2010-11-11,0.2299,0.24,0.21,0.2231,5031.88,1111.550263,0.2209015841,2010-11-11,-0.07041666666666668,6.334996177016484e-05,2.3996086150529726e-05
2010-11-12,0.2289,0.29,0.223,0.2682,40720.385,10494.4630881,0.257720134231,2010-11-12,0.20215150156880335,1.926268165143477e-05,2.3859942490659068e-05
2010-11-13,0.2799,0.3,0.2683,0.276,21915.573,6351.5839966,0.289820576291,2010-11-13,0.02908277404921722,4.57882223785204e-06,2.3755284031008937e-05
2010-11-14,0.276,0.299,0.2702,0.27904,16844.327,4793.8131794,0.284595114984,2010-11-14,0.011014492753623095,2.297647476325242e-06,2.3448142915387542e-05
2010-11-15,0.27904,0.2828,0.2682,0.2682,8507.74,2337.4988037,0.274749675437,2010-11-15,-0.038847477064220204,1.6619250030301183e-05,2.199804656106582e-05
2010-11-16,0.2683,0.275,0.223,0.223,33931.012,8609.6730792,0.253740533268,2010-11-16,-0.16853094705443694,1.9574604692202394e-05,2.2472886294300918e-05
2010-11-17,0.223,0.29,0.2116,0.2299,32871.602,8662.60689971,0.263528589197,2010-11-17,0.030941704035874373,3.571869807102781e-06,2.254150993910755e-05
2010-11-18,0.2221,0.283,0.2221,0.2678,37446.671,10253.2690408,0.273809894631,2010-11-18,0.1648542844715093,1.6078216987725382e-05,2.0257448533078242e-05
2010-11-19,0.2683,0.28,0.2682,0.28,2157.562,583.44613385,0.27041917398,2010-11-19,0.04555638536221074,7.808156180862271e-05,2.2646796458595083e-05
2010-11-20,0.27999,0.29,0.26825,0.28301,14652.694,4119.07125308,0.281113579051,2010-11-20,0.010749999999999815,2.609811615169705e-06,2.2150361711416624e-05
2010-11-21,0.27631,0.282,0.27631,0.27675,765.0,212.67088,0.278001150327,2010-11-21,-0.022119359739938504,0.0001040074679708783,2.523482078619373e-05
2010-11-22,0.27679,0.2879,0.269,0.2879,28205.85,7818.64285736,0.277199334796,2010-11-22,0.04028906955736211,5.152949212846627e-06,2.3380460902086983e-05
2010-11-23,0.2825,0.28449,0.276,0.28295,4856.923,1361.81867519,0.280387124768,2010-11-23,-0.017193469954845497,1.2625373897480643e-05,2.1875944555977148e-05
2010-11-24,0.28295,0.28299,0.2761,0.28299,2514.912,710.24141758,0.282412035721,2010-11-24,0.00014136773281503423,1.990418036964324e-07,2.0776015503090886e-05
2010-11-25,0.2825,0.2825,0.278,0.28,1679.595,469.9930752,0.279825240728,2010-11-25,-0.010565744372592611,2.2480638396845493e-05,1.9982441546475245e-05
2010-11-26,0.27899,0.289,0.27612,0.2844,33531.876,9510.98109453,0.283639993615,2010-11-26,0.01571428571428557,1.6522255231190865e-06,1.9322101786327653e-05
2010-11-27,0.2844,0.2844,0.28255,0.283,1825.388,515.8978472,0.282623665325,2010-11-27,-0.00492264416315058,9.541897082664508e-06,1.899353074362396e-05
2010-11-28,0.283,0.28461,0.27,0.27,20802.126,5746.30470424,0.276236414693,2010-11-28,-0.0459363957597172,7.994075866847491e-06,1.865515150225219e-05
2010-11-29,0.279,0.279,0.2151,0.2299,35055.403,8802.05644856,0.251089866192,2010-11-29,-0.1485185185185186,1.6873161332976447e-05,1.8912153375805513e-05
2010-11-30,0.2299,0.2299,0.204,0.2082,21476.251,4570.5792061,0.212820161494,2010-11-30,-0.09438886472379293,2.0651401161108722e-05,1.946354239451692e-05
2010-12-01,0.2095,0.2299,0.2095,0.2275,8157.894,1752.72324825,0.214849965965,2010-12-01,0.09269932756964461,5.288874194040611e-05,2.1098225864059728e-05
2010-12-02,0.228,0.2553,0.218,0.255,20312.234,4800.553787,0.236338050605,2010-12-02,0.1208791208791209,2.5180245080570512e-05,2.1679077394514565e-05
2010-12-03,0.25,0.2552,0.243,0.25105,2570.345,633.78483925,0.246575786227,2010-12-03,-0.015490196078431384,2.444078040232387e-05,2.248354042471837e-05
2010-12-04,0.255,0.2589,0.205,0.205,28560.716,6673.4025762,0.233656697409,2010-12-04,-0.18342959569806816,2.748666719916626e-05,2.237719251423755e-05
2010-12-05,0.22,0.235,0.19,0.19,5740.175,1178.0291393,0.2052253005,2010-12-05,-0.07317073170731703,6.211283682744556e-05,2.3951131598244012e-05
2010-12-06,0.225,0.225,0.1841,0.204,4319.255,863.020207,0.199807653635,2010-12-06,0.0736842105263158,8.537947307451145e-05,2.5023491130402746e-05
2010-12-07,0.1938,0.2477,0.1701,0.233,24592.915,5411.79520427,0.220055052615,2010-12-07,0.1421568627450982,2.626796790701429e-05,2.5746124781665998e-05
2010-12-08,0.24,0.24,0.22,0.2388,3430.41,789.863565,0.230253399739,2010-12-08,0.02489270386266096,3.151519447875907e-05,2.654858778518159e-05
2010-12-09,0.226,0.233,0.1701,0.2,21336.327,4411.9354408,0.206780456674,2010-12-09,-0.16247906197654938,3.682716217331767e-05,2.7422736901170007e-05
2010-12-10,0.19999,0.204,0.18251,0.204,1684.254,328.16543868,0.194843199826,2010-12-10,0.019999999999999796,6.09448700035172e-05,2.8674886647079894e-05
2010-12-11,0.204,0.228,0.1907,0.228,5788.686,1267.2008993,0.218909939026,2010-12-11,0.11764705882352944,9.284010048329157e-05,2.9657891270850784e-05
2010-12-12,0.208,0.2279,0.20676,0.22,1963.558,418.8037469,0.2132881977,2010-12-12,-0.03508771929824561,8.378081513827452e-05,3.180849572041211e-05
2010-12-13,0.2101,0.23,0.21,0.2299,6415.59,1425.91938662,0.222258496353,2010-12-13,0.04499999999999993,3.155858628633134e-05,3.270782118869475e-05
2010-12-14,0.2289,0.2468,0.21,0.24669,10388.097,2403.8267417,0.231402030776,2010-12-14,0.07303175293605912,3.0381454565402933e-05,3.3643948091664004e-05
2010-12-15,0.245,0.246,0.238,0.23801,3684.68,901.1484578,0.244566273815,2010-12-15,-0.03518586079695163,3.904557622264804e-05,3.439149229807557e-05
2010-12-16,0.23801,0.255,0.22221,0.24996,14355.331,3522.62327006,0.245387812379,2010-12-16,0.0502079744548547,1.425300709320515e-05,3.421410571144233e-05
2010-12-17,0.249,0.249,0.24,0.24,525.513,130.185227,0.247729793554,2010-12-17,-0.03984637542006719,0.00030607447817460265,4.4297525990358995e-05
2010-12-18,0.2487,0.24881,0.241,0.241,169.109,41.67057729,0.24641253446,2010-12-18,0.004166666666666652,9.999061538479234e-05,4.709460593692789e-05
2010-12-19,0.248,0.2499,0.24,0.2401,2000.757,487.494493,0.243655023074,2010-12-19,-0.003734439834024883,7.660475939006931e-06,4.474723640794069e-05
2010-12-20,0.2401,0.275,0.24,0.267,10682.705,2769.8807565,0.259286459422,2010-12-20,0.11203665139525198,4.044818576840854e-05,4.600851554638199e-05
2010-12-21,0.26,0.267,0.24,0.24,9225.789,2291.81427904,0.248413905742,2010-12-21,-0.10112359550561811,4.4123817723998544e-05,4.4012393871485995e-05
2010-12-22,0.244,0.25,0.244,0.25,3800.458,949.37609,0.249805704997,2010-12-22,0.04166666666666674,4.3888472761797426e-05,4.530357798978436e-05
2010-12-23,0.248,0.25,0.241,0.25,8650.148,2160.7383892,0.249792071673,2010-12-23,0.0,0.0,4.4882732193201673e-05
2010-12-24,0.25,0.25,0.242,0.248,5033.249,1252.0458158,0.248754992213,2010-12-24,-0.008000000000000007,6.389542538336246e-06,4.508908221768967e-05
2010-12-25,0.2475,0.25,0.2475,0.2499,703.0,175.4417,0.249561450925,2010-12-25,0.007661290322580783,4.366858234148884e-05,4.5795347015844436e-05
2010-12-26,0.2499,0.27,0.24639,0.265,16584.97,4203.0328292,0.253424204518,2010-12-26,0.06042416966786712,1.437632588736362e-05,4.6219483694652595e-05
2010-12-27,0.251,0.27,0.251,0.265,4935.49,1270.151704,0.257350679264,2010-12-27,0.0,0.0,4.590142045856378e-05
2010-12-28,0.264,0.281,0.2612,0.281,15438.708,4238.983397,0.274568532354,2010-12-28,0.060377358490566024,1.4243358096966385e-05,4.610972986623441e-05
2010-12-29,0.271,0.301,0.271,0.3,18609.144,5363.74749398,0.288231822699,2010-12-29,0.06761565836298922,1.2606047998880936e-05,4.596749275509789e-05
2010-12-30,0.291,0.3,0.291,0.3,2539.873,759.917027,0.299194891634,2010-12-30,0.0,0.0,4.527911271639426e-05
2010-12-31,0.3,0.3,0.292,0.3,1453.719,428.4412,0.294720781664,2010-12-31,0.0,0.0,4.351615465171406e-05
2011-01-01,0.292,0.3,0.292,0.3,2821.243,841.9497608,0.298432201976,2011-01-01,0.0,0.0,4.267681314902838e-05
2011-01-02,0.29459,0.3,0.289,0.29997,5352.108,1584.6618221,0.296081809653,2011-01-02,-9.999999999987796e-05,6.31049468127891e-08,4.1864223967178006e-05
2011-01-03,0.29,0.2999,0.29,0.295,1425.19,420.850466,0.295294287779,2011-01-03,-0.016568323499016713,3.936867091176445e-05,4.226029075759794e-05
2011-01-04,0.29601,0.29987,0.289,0.29895,1879.003,548.3304369,0.291819883683,2011-01-04,0.013389830508474532,2.4419272773137083e-05,4.100383862245433e-05
2011-01-05,0.29004,0.299,0.29004,0.299,357.157,106.19443563,0.297332645391,2011-01-05,0.00016725204883760725,1.5749605696888173e-06,3.821035487229358e-05
